#id #x0 #y0 #z0 #w0
124 -16.3817 21.9485 -94.0324 -95.0
124 -27.2419 -2.82452 94.0324 95.0
125 -15.6549 22.4727 -94.0324 -95.0
125 -27.3197 -1.93172 94.0324 95.0
126 -14.9112 22.973 -94.0324 -95.0
126 -27.3683 -1.03676 94.0324 95.0
127 -14.1516 23.4485 -94.0324 -95.0
127 -27.3876 -0.140736 94.0324 95.0
128 -13.3768 23.899 -94.0324 -95.0
128 -27.3776 0.755414 94.0324 95.0
129 -12.5877 24.3238 -94.0324 -95.0
129 -27.3381 1.65075 94.0324 95.0
130 -11.7851 24.7227 -94.0324 -95.0
130 -27.2695 2.54434 94.0324 95.0
131 -10.9699 25.095 -94.0324 -95.0
131 -27.1717 3.43519 94.0324 95.0
132 -10.1429 25.4406 -94.0324 -95.0
132 -27.0447 4.32244 94.0324 95.0
133 -9.30504 25.7588 -94.0324 -95.0
133 -26.8888 5.205 94.0324 95.0
134 -8.4573 26.0494 -94.0324 -95.0
134 -26.7041 6.08197 94.0324 95.0
135 -7.60042 26.3122 -94.0324 -95.0
135 -26.4908 6.95242 94.0324 95.0
136 -6.73546 26.5468 -94.0324 -95.0
136 -26.2491 7.81544 94.0324 95.0
137 -5.86325 26.7529 -94.0324 -95.0
137 -25.9793 8.67009 94.0324 95.0
138 -4.98481 26.9305 -94.0324 -95.0
138 -25.6818 9.51552 94.0324 95.0
139 -4.10095 27.0791 -94.0324 -95.0
139 -25.3566 10.3507 94.0324 95.0
140 -3.21277 27.1988 -94.0324 -95.0
140 -25.0044 11.1748 94.0324 95.0
141 -2.32116 27.2894 -94.0324 -95.0
141 -24.6254 11.987 94.0324 95.0
142 -1.42699 27.3507 -94.0324 -95.0
142 -24.22 12.7863 94.0324 95.0
143 -0.531422 27.3828 -94.0324 -95.0
143 -23.7888 13.5718 94.0324 95.0
144 0.364892 27.3855 -94.0324 -95.0
144 -23.3319 14.3429 94.0324 95.0
145 1.26072 27.3589 -94.0324 -95.0
145 -22.8501 15.0987 94.0324 95.0
146 2.15513 27.303 -94.0324 -95.0
146 -22.3439 15.8382 94.0324 95.0
147 3.04734 27.2178 -94.0324 -95.0
147 -21.8137 16.5608 94.0324 95.0
148 3.93622 27.1036 -94.0324 -95.0
148 -21.2602 17.2656 94.0324 95.0
149 4.82092 26.9603 -94.0324 -95.0
149 -20.6839 17.9521 94.0324 95.0
150 5.70047 26.7881 -94.0324 -95.0
150 -20.0855 18.6191 94.0324 95.0
151 6.5739 26.5872 -94.0324 -95.0
151 -19.4655 19.2664 94.0324 95.0
152 7.4403 26.3579 -94.0324 -95.0
152 -18.8247 19.8929 94.0324 95.0
153 8.29873 26.1004 -94.0324 -95.0
153 -18.1637 20.4982 94.0324 95.0
154 9.14829 25.8149 -94.0324 -95.0
154 -17.4833 21.0815 94.0324 95.0
155 9.988 25.5017 -94.0324 -95.0
155 -16.7842 21.6423 94.0324 95.0
156 10.8171 25.1613 -94.0324 -95.0
156 -16.0671 22.1799 94.0324 95.0
157 11.6345 24.7939 -94.0324 -95.0
157 -15.3327 22.6937 94.0324 95.0
158 12.4395 24.3999 -94.0324 -95.0
158 -14.5821 23.1833 94.0324 95.0
159 13.2312 23.9799 -94.0324 -95.0
159 -13.8158 23.6479 94.0324 95.0
160 14.0087 23.5341 -94.0324 -95.0
160 -13.0345 24.0873 94.0324 95.0
161 14.7713 23.0631 -94.0324 -95.0
161 -12.2395 24.5009 94.0324 95.0
162 15.5179 22.5675 -94.0324 -95.0
162 -11.4313 24.8883 94.0324 95.0
163 16.248 22.0477 -94.0324 -95.0
163 -10.6108 25.2489 94.0324 95.0
164 16.9607 21.5042 -94.0324 -95.0
164 -9.77906 25.5826 94.0324 95.0
165 17.6552 20.9378 -94.0324 -95.0
165 -8.93678 25.8888 94.0324 95.0
166 18.3309 20.349 -94.0324 -95.0
166 -8.08487 26.1674 94.0324 95.0
167 18.9868 19.7383 -94.0324 -95.0
167 -7.22441 26.4179 94.0324 95.0
168 19.6224 19.1065 -94.0324 -95.0
168 -6.35622 26.6401 94.0324 95.0
169 20.2371 18.4542 -94.0324 -95.0
169 -5.48111 26.8338 94.0324 95.0
170 20.83 17.7822 -94.0324 -95.0
170 -4.60024 26.9988 94.0324 95.0
171 21.4008 17.0911 -94.0324 -95.0
171 -3.71435 27.1349 94.0324 95.0
172 21.9485 16.3817 -94.0324 -95.0
172 -2.82452 27.2419 94.0324 95.0
173 22.4727 15.6549 -94.0324 -95.0
173 -1.93172 27.3197 94.0324 95.0
174 22.973 14.9112 -94.0324 -95.0
174 -1.03676 27.3683 94.0324 95.0
175 23.4485 14.1516 -94.0324 -95.0
175 -0.140736 27.3876 94.0324 95.0
176 23.899 13.3768 -94.0324 -95.0
176 0.755414 27.3776 94.0324 95.0
177 24.3238 12.5877 -94.0324 -95.0
177 1.65075 27.3381 94.0324 95.0
178 24.7227 11.7851 -94.0324 -95.0
178 2.54434 27.2695 94.0324 95.0
179 25.095 10.9699 -94.0324 -95.0
179 3.43519 27.1717 94.0324 95.0
180 25.4406 10.1429 -94.0324 -95.0
180 4.32244 27.0447 94.0324 95.0
181 25.7588 9.30504 -94.0324 -95.0
181 5.205 26.8888 94.0324 95.0
182 26.0494 8.4573 -94.0324 -95.0
182 6.08197 26.7041 94.0324 95.0
183 26.3122 7.60042 -94.0324 -95.0
183 6.95242 26.4908 94.0324 95.0
184 26.5468 6.73546 -94.0324 -95.0
184 7.81544 26.2491 94.0324 95.0
185 26.7529 5.86325 -94.0324 -95.0
185 8.67009 25.9793 94.0324 95.0
186 26.9305 4.98481 -94.0324 -95.0
186 9.51552 25.6818 94.0324 95.0
187 27.0791 4.10095 -94.0324 -95.0
187 10.3507 25.3566 94.0324 95.0
188 27.1988 3.21277 -94.0324 -95.0
188 11.1748 25.0044 94.0324 95.0
189 27.2894 2.32116 -94.0324 -95.0
189 11.987 24.6254 94.0324 95.0
190 27.3507 1.42699 -94.0324 -95.0
190 12.7863 24.22 94.0324 95.0
191 27.3828 0.531423 -94.0324 -95.0
191 13.5718 23.7888 94.0324 95.0
192 13.6784 22.8317 -93.8505 -95.0
192 26.689 -0.087061 94.3129 95.0
193 14.4168 22.3774 -93.8502 -95.0
193 26.6778 -0.954632 94.3128 95.0
194 15.1404 21.898 -93.8502 -95.0
194 26.6376 -1.81977 94.3128 95.0
195 15.8474 21.3967 -93.8499 -95.0
195 26.5698 -2.6849 94.3125 95.0
196 16.5382 20.8711 -93.8499 -95.0
196 26.4732 -3.54586 94.3125 95.0
197 17.2107 20.3248 -93.8498 -95.0
197 26.3491 -4.4048 94.3122 95.0
198 17.8655 19.7553 -93.8498 -95.0
198 26.1965 -5.25789 94.3122 95.0
199 18.5011 19.1648 -93.8499 -95.0
199 26.0163 -6.10544 94.3121 95.0
200 19.1168 18.5556 -93.8497 -95.0
200 25.8086 -6.94843 94.3119 95.0
201 19.7127 17.925 -93.8498 -95.0
201 25.5732 -7.78281 94.3118 95.0
202 20.2873 17.2754 -93.8499 -95.0
202 25.3107 -8.609 94.3117 95.0
203 20.8406 16.6075 -93.8499 -95.0
203 25.0212 -9.42631 94.3117 95.0
204 21.3717 15.922 -93.85 -95.0
204 24.7051 -10.2338 94.3116 95.0
205 21.8798 15.2195 -93.85 -95.0
205 24.363 -11.0307 94.3116 95.0
206 22.3649 14.5009 -93.8501 -95.0
206 23.9949 -11.8161 94.3115 95.0
207 22.8261 13.7652 -93.8503 -95.0
207 23.6013 -12.5874 94.3117 95.0
208 23.2571 13.0167 -93.8733 -95.0
208 23.1803 -13.3473 94.2887 95.0
209 23.6694 12.2526 -93.8721 -95.0
209 22.737 -14.0916 94.2903 95.0
210 24.0565 11.4773 -93.8708 -95.0
210 22.2695 -14.8229 94.2916 95.0
211 24.4179 10.6882 -93.8699 -95.0
211 21.7785 -15.5368 94.2931 95.0
212 24.7537 9.88944 -93.8686 -95.0
212 21.2641 -16.236 94.2944 95.0
213 25.0627 9.07861 -93.8676 -95.0
213 20.7275 -16.9166 94.2958 95.0
214 25.3451 8.25815 -93.8665 -95.0
214 20.1687 -17.5793 94.2973 95.0
215 25.6006 7.42899 -93.8655 -95.0
215 19.5886 -18.2236 94.2987 95.0
216 25.8292 6.5937 -93.8643 -95.0
216 18.9872 -18.8501 94.2999 95.0
217 26.0298 5.74982 -93.8633 -95.0
217 18.3662 -19.4552 94.3015 95.0
218 26.2027 4.89998 -93.8622 -95.0
218 17.7257 -20.0398 94.303 95.0
219 26.3479 4.04494 -93.8611 -95.0
219 17.0661 -20.6031 94.3045 95.0
220 26.4642 3.1844 -93.8603 -95.0
220 16.3894 -21.1432 94.3063 95.0
221 26.5531 2.3219 -93.8591 -95.0
221 15.6945 -21.6625 94.3079 95.0
222 26.614 1.45708 -93.858 -95.0
222 14.9828 -22.1587 94.3096 95.0
223 26.6463 0.590838 -93.8568 -95.0
223 14.2555 -22.6316 94.3112 95.0
224 26.6614 -0.288836 -93.8975 -95.0
224 13.527 -23.099 94.2705 95.0
225 26.6368 -1.15536 -93.895 -95.0
225 12.7694 -23.5236 94.2734 95.0
226 26.5838 -2.02055 -93.8925 -95.0
226 11.9984 -23.9235 94.2763 95.0
227 26.5016 -2.88479 -93.8904 -95.0
227 11.2158 -24.2966 94.2794 95.0
228 26.3923 -3.74456 -93.8879 -95.0
228 10.4201 -24.6452 94.2823 95.0
229 26.255 -4.60013 -93.8856 -95.0
229 9.61342 -24.9677 94.2852 95.0
230 26.0887 -5.45195 -93.8834 -95.0
230 8.79773 -25.2625 94.2882 95.0
231 25.8957 -6.29666 -93.8811 -95.0
231 7.97147 -25.5315 94.2911 95.0
232 25.6743 -7.13575 -93.8788 -95.0
232 7.13813 -25.7724 94.2942 95.0
233 25.4253 -7.96697 -93.8766 -95.0
233 6.29727 -25.986 94.2974 95.0
234 25.1508 -8.78856 -93.8741 -95.0
234 5.4486 -26.173 94.3003 95.0
235 24.8482 -9.60173 -93.8719 -95.0
235 4.59542 -26.3313 94.3035 95.0
236 24.5192 -10.4045 -93.8695 -95.0
236 3.73738 -26.4613 94.3067 95.0
237 24.1643 -11.1961 -93.8671 -95.0
237 2.8757 -26.5635 94.3101 95.0
238 23.7837 -11.9756 -93.8646 -95.0
238 2.01091 -26.6372 94.3134 95.0
239 23.3791 -12.7413 -93.8619 -95.0
239 1.14272 -26.6837 94.3167 95.0
240 22.9478 -13.4896 -93.8666 -95.0
240 0.26879 -26.68 94.3132 95.0
241 22.4931 -14.2277 -93.8699 -95.0
241 -0.598287 -26.6684 94.3109 95.0
242 22.0146 -14.9508 -93.873 -95.0
242 -1.46458 -26.6284 94.3088 95.0
243 21.5126 -15.6576 -93.8761 -95.0
243 -2.32917 -26.5602 94.3065 95.0
244 20.9879 -16.3479 -93.8791 -95.0
244 -3.19106 -26.4637 94.3045 95.0
245 20.4423 -17.0198 -93.8819 -95.0
245 -4.05092 -26.3396 94.3021 95.0
246 19.8736 -17.6741 -93.8848 -95.0
246 -4.90463 -26.1871 94.3002 95.0
247 19.2839 -18.3097 -93.8877 -95.0
247 -5.75309 -26.0063 94.2981 95.0
248 18.6737 -18.9253 -93.8906 -95.0
248 -6.59505 -25.7983 94.2962 95.0
249 18.0436 -19.5208 -93.8934 -95.0
249 -7.42982 -25.5626 94.2942 95.0
250 17.3945 -20.0955 -93.8963 -95.0
250 -8.25648 -25.2997 94.2923 95.0
251 16.7253 -20.6488 -93.8993 -95.0
251 -9.07246 -25.0098 94.2907 95.0
252 16.0399 -21.1797 -93.902 -95.0
252 -9.88014 -24.6935 94.2888 95.0
253 15.3376 -21.6878 -93.9049 -95.0
